state,year,visitors_000,log_population,log_gdp_total,log_gdp_services,services_share,log_gdp_per_capita,log_rooms,rooms_per_1k_residents,log_lf_employed,u_rate,p_rate,cpi_accom_food_rel,cpi_recreation_rel
Johor,2017,13140.6397344478,8.215276958936633,11.72449288669644,11.002084041079417,0.4855811559874232,10.416971206741946,10.366938509842946,8.599134433324316,7.39186211384821,3.4,67.1,1.0142987627667526,1.0292468099521965
Kedah,2017,13304.534929663,7.670381879311885,10.670502638936183,10.077784834107018,0.5528227767687072,9.907876038606435,9.491828300264636,6.180792014552917,6.816215482341622,2.825,65.0,0.9927094577763016,1.01208265893778
Kelantan,2017,9623.66382258783,7.511524648390866,10.064805698882292,9.674013317161135,0.6765205995019399,9.461036329473563,8.38022733634308,2.3838162930563147,6.5190735389083185,3.525,61.3,0.9273436851282902,0.9649565250122333
Melaka,2017,12624.984812844,6.8168454036222945,10.617172041428429,9.831630314809079,0.4558726765176947,10.708081916788272,9.801177933711559,19.77329974811083,6.010592927542981,1.0,65.425,0.9889230258241302,1.0141905371325328
Negeri Sembilan,2017,10822.3205520833,7.01571242048723,10.687748141489163,9.94825783828611,0.4773571609409945,10.57979099998407,9.163458386076051,8.565529622980252,6.17882546828242,2.825,65.375,0.9840073071493813,1.0132871607633531
Pahang,2017,16491.3391442,7.4067107301776405,10.907626859185362,10.193150711339838,0.4894484432720848,10.408671407989857,10.150386692204734,15.544019429265331,6.541354621818951,2.925,65.5,0.9518558498712946,0.9605902058945308
Perak,2017,20109.7100671475,7.821322304934696,11.146727766040453,10.669599559250166,0.620562963807368,10.233160740087895,9.708141544619421,6.598347505214183,6.917284729198267,3.9,63.075,0.993838744498879,0.9779049196371439
Perlis,2017,1413.61053340025,5.529429087511423,8.647282065367014,8.222250155186247,0.6537489235506743,10.025608256837726,7.126890808898808,4.940476190476191,4.590817679763691,3.4,59.925,0.985003736610479,0.9846802424059925
Pulau Pinang,2017,12642.6432832667,7.463993942274623,11.37099112915621,10.679551959226117,0.5008547350554133,10.814752465863723,10.051260796825561,13.293389140530934,6.715504591110298,2.025,67.625,1.031238063605414,0.9911544397184476
Sabah,2017,17791.7126417,8.257359721784196,11.336107817838867,10.475417156149309,0.4228699213828149,9.986503375036808,10.060576767778903,6.069140797219845,7.485239050888359,5.95,68.0,1.043062359877107,1.0545413482892312
Sarawak,2017,17670.3474462916,7.925265966213205,11.776585873695101,10.681463193840067,0.33449856819549,10.759075186464033,9.922652721797139,7.369771897480389,7.136880901973894,3.05,67.95,0.9733787262310055,0.946136183987654
Terengganu,2017,12979.3763672308,7.0967213784947605,10.433484928167648,9.736033465155268,0.49785248384738645,10.244518828655025,9.288134399416203,8.947847682119205,6.082390128594483,4.975,60.475,0.9187743917628497,0.9596868295253511
W.P. Kuala Lumpur,2017,19049.4424775752,7.491757012281284,12.23648209072676,12.101798045607932,0.8739920101101146,11.652480357427613,10.727136541160231,25.416016060673655,6.742113832439381,3.075,68.875,1.0278502034376815,1.0095983739225354
W.P. Labuan,2017,381.004767748,4.580877493419047,8.823177648716,8.535537697346431,0.7500315914769878,11.15005543427909,7.436617265234227,17.387295081967213,3.649358695951653,8.3,63.275,1.0125051897367765,1.0714796552113526
Johor,2018,13487.2379119749,8.22935110616309,11.77978687135016,11.07289697070501,0.4931756399970916,10.458191044169206,10.366938509842946,8.478956633061289,7.445315331850737,2.95,69.475,1.0293686058030227,1.0305733870090306
Kedah,2018,14480.018395565,7.679251425953058,10.710048905820353,10.130788808604764,0.5603127902235143,9.938552758849431,9.491828300264636,6.12621359223301,6.817639087039028,2.9,63.675,0.9911585904713363,1.00680722635092
Kelantan,2018,9846.1234357734,7.528600547786677,10.091736963169414,9.724428228868762,0.692595783957969,9.470891694364873,8.38022733634308,2.3434560601988714,6.529747251481985,4.475,60.725,0.9276944514092409,0.9628322602924411
Melaka,2018,13122.6041634891,6.826978968954849,10.654329679365642,9.889931381447926,0.4656140076224397,10.73510598939293,9.801177933711559,19.57393755420642,6.037094962620542,1.325,66.9,0.9950387813569981,1.0178577341728439
Negeri Sembilan,2018,12802.1189060886,7.023669903578493,10.7297231526225,10.004517570107602,0.48422501052653694,10.613808528026142,9.163458386076051,8.497640039184255,6.191697646839086,3.25,65.925,0.9790576561838488,1.0214907778403257
Pahang,2018,18111.3565763172,7.417400205999965,10.938271112548817,10.256042445709896,0.5054891691126336,10.42862618553099,10.150386692204734,15.378746921367213,6.578903929492285,2.55,66.725,0.9519620859314308,0.9611671152781786
Perak,2018,17553.1612058818,7.825445031769999,11.198636685884976,10.734455662488964,0.6286497438546828,10.280946933097114,9.708141544619421,6.571200319552626,6.946013991099227,3.3,63.525,0.9924739094156284,0.9784997611084567
Perlis,2018,2155.5079034032,5.535363823031238,8.680223869948136,8.263883946239012,0.6594560676281026,10.052615325899035,7.126890808898808,4.911242603550296,4.665088676199335,3.725,64.425,0.9801099113392824,0.9862199789018558
Pulau Pinang,2018,14450.4911905341,7.474658732967832,11.421185489395492,10.739012468690463,0.5055172984132545,10.854282035409797,10.051260796825561,13.152371227592466,6.725363719738068,2.2,67.65,1.0319334777443925,0.9956053417095174
Sabah,2018,20359.8810907898,8.268321491529296,11.350547890187288,10.53004202355744,0.44020891117321576,9.989981677640127,10.060576767778903,6.002975579725015,7.518240700144822,5.949999999999999,68.875,1.0481776667064002,1.0530528447015748
Sarawak,2018,19380.2301990599,7.93440600825238,11.798178261619444,10.7431667933744,0.3481884341730159,10.7715275323492,9.922652721797139,7.302718773507182,7.156722510305805,3.175,68.275,0.9793207199727071,0.949965230636776
Terengganu,2018,13742.3663642652,7.113386378545049,10.458469994511574,9.771516827150979,0.5031066178834457,10.252838894948663,9.288134399416203,8.799967434665799,6.108469502360524,4.85,60.4,0.9203944312684196,0.956550122284087
W.P. Kuala Lumpur,2018,19165.4971713709,7.489970898834801,12.303013195558387,12.172889840666521,0.8779871202340959,11.720797575705724,10.727136541160231,25.46145251396648,6.7046900522502355,2.4,67.475,1.0296974355390958,1.0096833859210097
W.P. Labuan,2018,544.932022066991,4.59511985013459,8.88805871117435,8.609002158212215,0.7564971198523218,11.200694140021897,7.436617265234227,17.141414141414142,3.7293013686128518,4.725,63.875,1.0093757578497826,1.0690987875662865
Johor,2019,14274.0,8.232493334402921,11.807279763532323,11.13570842668265,0.5109051426409104,10.482541708111539,10.366938509842946,8.452355631181538,7.469440353038936,2.75,70.175,1.0376322899104187,1.0337651624514894
Kedah,2019,14831.0,7.68418606367882,10.754518415163712,10.17833203714186,0.5620376839627866,9.978087630467028,9.491828300264636,6.096057413626536,6.827277059820571,3.025,63.224999999999994,1.0000609396900202,1.015392114587825
